time,platformId,x,y,z,psi,target_x,target_y,target_z,target_psi,nextPoint_x,nextPoint_y,nextPoint_z,nextPoint_psi,ref0_x,ref0_y,ref0_z,ref0_psi,ref1_x,ref1_y,ref1_z,ref1_psi,ref2_x,ref2_y,ref2_z,ref2_psi,ref3_x,ref3_y,ref3_z,ref3_psi,ref4_x,ref4_y,ref4_z,ref4_psi,ref5_x,ref5_y,ref5_z,ref5_psi,ref6_x,ref6_y,ref6_z,ref6_psi,ref7_x,ref7_y,ref7_z,ref7_psi,ref8_x,ref8_y,ref8_z,ref8_psi,ref9_x,ref9_y,ref9_z,ref9_psi
1744878809726759.0,1801.0,-11932.6,13061.5,267.949,0.0,36.52,105.153,3695.0,0.0,0.0,0.0,0.0,0.0,-11932.6,13061.5,267.949,0.0,-11932.6,13061.5,267.949,0.0,-11932.6,13061.5,267.949,0.0,-11932.6,13061.5,267.949,0.0,-11932.6,13061.5,267.949,0.0,-11932.6,13061.5,267.949,0.0,-11932.6,13061.5,267.949,0.0,-11932.6,13061.5,267.949,0.0,-11932.6,13061.5,267.949,0.0,-11932.6,13061.5,267.949,0.0
1744878809747735.0,1801.0,-11932.6,13061.5,267.949,0.0,36.52,105.153,3695.0,0.0,0.0,0.0,0.0,0.0,-11932.6,13061.5,267.949,0.0,-11932.6,13061.5,267.949,0.0,-11932.6,13061.5,267.949,0.0,-11932.6,13061.5,267.949,0.0,-11932.6,13061.5,267.949,0.0,-11932.6,13061.5,267.949,0.0,-11932.6,13061.5,267.949,0.0,-11932.6,13061.5,267.949,0.0,-11932.6,13061.5,267.949,0.0,-11932.6,13061.5,267.949,0.0
1744878809768825.0,1801.0,-11929.2,13070.3,267.949,0.0,36.52,105.153,3695.0,0.0,0.0,0.0,0.0,0.0,-11929.2,13070.3,267.949,0.0,-11929.2,13070.3,267.949,0.0,-11929.2,13070.3,267.949,0.0,-11929.2,13070.3,267.949,0.0,-11929.2,13070.3,267.949,0.0,-11929.2,13070.3,267.949,0.0,-11929.2,13070.3,267.949,0.0,-11929.2,13070.3,267.949,0.0,-11929.2,13070.3,267.949,0.0,-11929.2,13070.3,267.949,0.0
1744878809789807.0,1801.0,-11929.2,13070.3,267.949,0.0,36.52,105.153,3695.0,0.0,0.0,0.0,0.0,0.0,-11929.2,13070.3,267.949,0.0,-11929.2,13070.3,267.949,0.0,-11929.2,13070.3,267.949,0.0,-11929.2,13070.3,267.949,0.0,-11929.2,13070.3,267.949,0.0,-11929.2,13070.3,267.949,0.0,-11929.2,13070.3,267.949,0.0,-11929.2,13070.3,267.949,0.0,-11929.2,13070.3,267.949,0.0,-11929.2,13070.3,267.949,0.0
1744878809810506.0,1801.0,-11929.2,13070.3,267.949,0.0,36.52,105.153,3695.0,0.0,0.0,0.0,0.0,0.0,-11929.2,13070.3,267.949,0.0,-11929.2,13070.3,267.949,0.0,-11929.2,13070.3,267.949,0.0,-11929.2,13070.3,267.949,0.0,-11929.2,13070.3,267.949,0.0,-11929.2,13070.3,267.949,0.0,-11929.2,13070.3,267.949,0.0,-11929.2,13070.3,267.949,0.0,-11929.2,13070.3,267.949,0.0,-11929.2,13070.3,267.949,0.0
1744878809832453.0,1801.0,-11934.3,13065.6,267.949,0.0,36.5199,105.153,3695.0,0.0,0.0,0.0,0.0,0.0,-11934.3,13065.6,267.949,0.0,-11934.3,13065.6,267.949,0.0,-11934.3,13065.6,267.949,0.0,-11934.3,13065.6,267.949,0.0,-11934.3,13065.6,267.949,0.0,-11934.3,13065.6,267.949,0.0,-11934.3,13065.6,267.949,0.0,-11934.3,13065.6,267.949,0.0,-11934.3,13065.6,267.949,0.0,-11934.3,13065.6,267.949,0.0
1744878809852988.0,1801.0,-11934.3,13065.6,267.949,0.0,36.5199,105.153,3695.0,0.0,0.0,0.0,0.0,0.0,-11934.3,13065.6,267.949,0.0,-11934.3,13065.6,267.949,0.0,-11934.3,13065.6,267.949,0.0,-11934.3,13065.6,267.949,0.0,-11934.3,13065.6,267.949,0.0,-11934.3,13065.6,267.949,0.0,-11934.3,13065.6,267.949,0.0,-11934.3,13065.6,267.949,0.0,-11934.3,13065.6,267.949,0.0,-11934.3,13065.6,267.949,0.0
1744878809873816.0,1801.0,-11916.9,13090.8,267.949,0.0,36.5199,105.153,3695.0,0.0,0.0,0.0,0.0,0.0,-11916.9,13090.8,267.949,0.0,-11916.9,13090.8,267.949,0.0,-11916.9,13090.8,267.949,0.0,-11916.9,13090.8,267.949,0.0,-11916.9,13090.8,267.949,0.0,-11916.9,13090.8,267.949,0.0,-11916.9,13090.8,267.949,0.0,-11916.9,13090.8,267.949,0.0,-11916.9,13090.8,267.949,0.0,-11916.9,13090.8,267.949,0.0
1744878809894906.0,1801.0,-11916.9,13090.8,267.949,0.0,36.5199,105.153,3695.0,0.0,0.0,0.0,0.0,0.0,-11916.9,13090.8,267.949,0.0,-11916.9,13090.8,267.949,0.0,-11916.9,13090.8,267.949,0.0,-11916.9,13090.8,267.949,0.0,-11916.9,13090.8,267.949,0.0,-11916.9,13090.8,267.949,0.0,-11916.9,13090.8,267.949,0.0,-11916.9,13090.8,267.949,0.0,-11916.9,13090.8,267.949,0.0,-11916.9,13090.8,267.949,0.0
1744878809915577.0,1801.0,-11916.9,13090.8,267.949,0.0,36.5199,105.153,3695.0,0.0,0.0,0.0,0.0,0.0,-11916.9,13090.8,267.949,0.0,-11916.9,13090.8,267.949,0.0,-11916.9,13090.8,267.949,0.0,-11916.9,13090.8,267.949,0.0,-11916.9,13090.8,267.949,0.0,-11916.9,13090.8,267.949,0.0,-11916.9,13090.8,267.949,0.0,-11916.9,13090.8,267.949,0.0,-11916.9,13090.8,267.949,0.0,-11916.9,13090.8,267.949,0.0
1744878809936650.0,1801.0,-11925.4,13077.2,267.949,0.0,36.5199,105.153,3695.0,0.0,0.0,0.0,0.0,0.0,-11925.4,13077.2,267.949,0.0,-11925.4,13077.2,267.949,0.0,-11925.4,13077.2,267.949,0.0,-11925.4,13077.2,267.949,0.0,-11925.4,13077.2,267.949,0.0,-11925.4,13077.2,267.949,0.0,-11925.4,13077.2,267.949,0.0,-11925.4,13077.2,267.949,0.0,-11925.4,13077.2,267.949,0.0,-11925.4,13077.2,267.949,0.0
1744878809957429.0,1801.0,-11925.4,13077.2,267.949,0.0,36.5199,105.153,3695.0,0.0,0.0,0.0,0.0,0.0,-11925.4,13077.2,267.949,0.0,-11925.4,13077.2,267.949,0.0,-11925.4,13077.2,267.949,0.0,-11925.4,13077.2,267.949,0.0,-11925.4,13077.2,267.949,0.0,-11925.4,13077.2,267.949,0.0,-11925.4,13077.2,267.949,0.0,-11925.4,13077.2,267.949,0.0,-11925.4,13077.2,267.949,0.0,-11925.4,13077.2,267.949,0.0
1744878809978187.0,1801.0,-11930.1,13056.0,267.949,0.0,36.5198,105.153,3695.0,0.0,0.0,0.0,0.0,0.0,-11930.1,13056.0,267.949,0.0,-11930.1,13056.0,267.949,0.0,-11930.1,13056.0,267.949,0.0,-11930.1,13056.0,267.949,0.0,-11930.1,13056.0,267.949,0.0,-11930.1,13056.0,267.949,0.0,-11930.1,13056.0,267.949,0.0,-11930.1,13056.0,267.949,0.0,-11930.1,13056.0,267.949,0.0,-11930.1,13056.0,267.949,0.0
1744878809998803.0,1801.0,-11930.1,13056.0,267.949,0.0,36.5198,105.153,3695.0,0.0,0.0,0.0,0.0,0.0,-11930.1,13056.0,267.949,0.0,-11930.1,13056.0,267.949,0.0,-11930.1,13056.0,267.949,0.0,-11930.1,13056.0,267.949,0.0,-11930.1,13056.0,267.949,0.0,-11930.1,13056.0,267.949,0.0,-11930.1,13056.0,267.949,0.0,-11930.1,13056.0,267.949,0.0,-11930.1,13056.0,267.949,0.0,-11930.1,13056.0,267.949,0.0
