time,platformId,x,y,z,psi,target_x,target_y,target_z,target_psi,nextPoint_x,nextPoint_y,nextPoint_z,nextPoint_psi,ref0_x,ref0_y,ref0_z,ref0_psi,ref1_x,ref1_y,ref1_z,ref1_psi,ref2_x,ref2_y,ref2_z,ref2_psi,ref3_x,ref3_y,ref3_z,ref3_psi,ref4_x,ref4_y,ref4_z,ref4_psi,ref5_x,ref5_y,ref5_z,ref5_psi,ref6_x,ref6_y,ref6_z,ref6_psi,ref7_x,ref7_y,ref7_z,ref7_psi,ref8_x,ref8_y,ref8_z,ref8_psi,ref9_x,ref9_y,ref9_z,ref9_psi
1744880488661512.0,101.0,-1320.97,-2440.41,0.603288,0.0,-2641.24,-4880.9,2.41292,4.21637,-2641.24,-4880.9,2.41292,4.21637,-1701.62,-3144.04,2.41292,4.21649,-1730.17,-3196.82,2.41292,4.21649,-1758.72,-3249.59,2.41292,4.21649,-1787.27,-3302.36,2.41292,4.21649,-1815.82,-3355.13,2.41292,4.21649,-1844.37,-3407.91,2.41292,4.21649,-1872.92,-3460.68,2.41292,4.21649,-1901.47,-3513.45,2.41292,4.21649,-1930.02,-3566.22,2.41292,4.21649,-1958.57,-3619.0,2.41292,4.21649
1744880488682280.0,101.0,-1320.97,-2440.41,0.603288,0.0,-2641.24,-4880.9,2.41292,4.21637,-2641.24,-4880.9,2.41292,4.21637,-1701.62,-3144.04,2.41292,4.21649,-1730.17,-3196.82,2.41292,4.21649,-1758.72,-3249.59,2.41292,4.21649,-1787.27,-3302.36,2.41292,4.21649,-1815.82,-3355.13,2.41292,4.21649,-1844.37,-3407.91,2.41292,4.21649,-1872.92,-3460.68,2.41292,4.21649,-1901.47,-3513.45,2.41292,4.21649,-1930.02,-3566.22,2.41292,4.21649,-1958.57,-3619.0,2.41292,4.21649
1744880488707168.0,101.0,-1320.97,-2440.41,0.603288,0.0,-2641.24,-4880.9,2.41292,4.21637,-2641.24,-4880.9,2.41292,4.21637,-1701.62,-3144.04,2.41292,4.21649,-1730.17,-3196.82,2.41292,4.21649,-1758.72,-3249.59,2.41292,4.21649,-1787.27,-3302.36,2.41292,4.21649,-1815.82,-3355.13,2.41292,4.21649,-1844.37,-3407.91,2.41292,4.21649,-1872.92,-3460.68,2.41292,4.21649,-1901.47,-3513.45,2.41292,4.21649,-1930.02,-3566.22,2.41292,4.21649,-1958.57,-3619.0,2.41292,4.21649
1744880488727996.0,101.0,-1320.97,-2440.41,0.603288,0.0,-2641.24,-4880.9,2.41292,4.21637,-2641.24,-4880.9,2.41292,4.21637,-1701.62,-3144.04,2.41292,4.21649,-1730.17,-3196.82,2.41292,4.21649,-1758.72,-3249.59,2.41292,4.21649,-1787.27,-3302.36,2.41292,4.21649,-1815.82,-3355.13,2.41292,4.21649,-1844.37,-3407.91,2.41292,4.21649,-1872.92,-3460.68,2.41292,4.21649,-1901.47,-3513.45,2.41292,4.21649,-1930.02,-3566.22,2.41292,4.21649,-1958.57,-3619.0,2.41292,4.21649
1744880488748887.0,101.0,-1320.97,-2440.41,0.603288,0.0,-2641.24,-4880.9,2.41292,4.21637,-2641.24,-4880.9,2.41292,4.21637,-1701.62,-3144.04,2.41292,4.21649,-1730.17,-3196.82,2.41292,4.21649,-1758.72,-3249.59,2.41292,4.21649,-1787.27,-3302.36,2.41292,4.21649,-1815.82,-3355.13,2.41292,4.21649,-1844.37,-3407.91,2.41292,4.21649,-1872.92,-3460.68,2.41292,4.21649,-1901.47,-3513.45,2.41292,4.21649,-1930.02,-3566.22,2.41292,4.21649,-1958.57,-3619.0,2.41292,4.21649
1744880488769372.0,101.0,-1320.97,-2440.41,0.603288,0.0,-2641.24,-4880.9,2.41292,4.21637,-2641.24,-4880.9,2.41292,4.21637,-1701.62,-3144.04,2.41292,4.21649,-1730.17,-3196.82,2.41292,4.21649,-1758.72,-3249.59,2.41292,4.21649,-1787.27,-3302.36,2.41292,4.21649,-1815.82,-3355.13,2.41292,4.21649,-1844.37,-3407.91,2.41292,4.21649,-1872.92,-3460.68,2.41292,4.21649,-1901.47,-3513.45,2.41292,4.21649,-1930.02,-3566.22,2.41292,4.21649,-1958.57,-3619.0,2.41292,4.21649
1744880488790042.0,101.0,-1320.97,-2440.41,0.603288,0.0,-2641.24,-4880.9,2.41292,4.21637,-2641.24,-4880.9,2.41292,4.21637,-1701.62,-3144.04,2.41292,4.21649,-1730.17,-3196.82,2.41292,4.21649,-1758.72,-3249.59,2.41292,4.21649,-1787.27,-3302.36,2.41292,4.21649,-1815.82,-3355.13,2.41292,4.21649,-1844.37,-3407.91,2.41292,4.21649,-1872.92,-3460.68,2.41292,4.21649,-1901.47,-3513.45,2.41292,4.21649,-1930.02,-3566.22,2.41292,4.21649,-1958.57,-3619.0,2.41292,4.21649
1744880488810782.0,101.0,-1320.97,-2440.41,0.603288,0.0,-2641.24,-4880.9,2.41292,4.21637,-2641.24,-4880.9,2.41292,4.21637,-1701.62,-3144.04,2.41292,4.21649,-1730.17,-3196.82,2.41292,4.21649,-1758.72,-3249.59,2.41292,4.21649,-1787.27,-3302.36,2.41292,4.21649,-1815.82,-3355.13,2.41292,4.21649,-1844.37,-3407.91,2.41292,4.21649,-1872.92,-3460.68,2.41292,4.21649,-1901.47,-3513.45,2.41292,4.21649,-1930.02,-3566.22,2.41292,4.21649,-1958.57,-3619.0,2.41292,4.21649
1744880488831314.0,101.0,-1320.97,-2440.41,0.603288,0.0,-2641.24,-4880.9,2.41292,4.21637,-2641.24,-4880.9,2.41292,4.21637,-1701.62,-3144.04,2.41292,4.21649,-1730.17,-3196.82,2.41292,4.21649,-1758.72,-3249.59,2.41292,4.21649,-1787.27,-3302.36,2.41292,4.21649,-1815.82,-3355.13,2.41292,4.21649,-1844.37,-3407.91,2.41292,4.21649,-1872.92,-3460.68,2.41292,4.21649,-1901.47,-3513.45,2.41292,4.21649,-1930.02,-3566.22,2.41292,4.21649,-1958.57,-3619.0,2.41292,4.21649
1744880488852251.0,101.0,-1320.97,-2440.41,0.603288,0.0,-2641.24,-4880.9,2.41292,4.21637,-2641.24,-4880.9,2.41292,4.21637,-1701.62,-3144.04,2.41292,4.21649,-1730.17,-3196.82,2.41292,4.21649,-1758.72,-3249.59,2.41292,4.21649,-1787.27,-3302.36,2.41292,4.21649,-1815.82,-3355.13,2.41292,4.21649,-1844.37,-3407.91,2.41292,4.21649,-1872.92,-3460.68,2.41292,4.21649,-1901.47,-3513.45,2.41292,4.21649,-1930.02,-3566.22,2.41292,4.21649,-1958.57,-3619.0,2.41292,4.21649
