time,x_state,y_state,z_state,psi_state,mpc_cmd_psi,mpc_cmd_omega,mpc_cmd_vel
1744880488986755.0,-210.978,-2440.1,0.469502,0.0,6.16236,-0.120826,60.0
1744880489006566.0,-210.978,-2440.1,0.469502,0.0,6.18319,-0.0999966,60.0
1744880489027447.0,-210.978,-2440.1,0.469502,0.0,6.15068,-0.13251,60.0
1744880489048180.0,-210.978,-2440.1,0.469502,0.0,6.12891,-0.154272,60.0
1744880489069026.0,-210.978,-2440.1,0.469502,0.0,6.12632,-0.156866,60.0
1744880489090036.0,-210.978,-2440.1,0.469502,0.0,6.14928,-0.13391,60.0
1744880489110952.0,-210.978,-2440.1,0.469502,0.0,6.14678,-0.136407,60.0
1744880489131756.0,-210.978,-2440.1,0.469502,0.0,6.15318,-0.13001,60.0
1744880489152823.0,-210.978,-2440.1,0.469502,0.0,6.17731,-0.105879,60.0
1744880489173705.0,-210.978,-2440.1,0.469502,0.0,6.23254,-0.0506432,60.0
1744880489194575.0,-210.978,-2440.1,0.469502,0.0,6.12576,-0.157422,60.0
1744880489215549.0,-210.978,-2440.1,0.469502,0.0,6.15562,-0.127567,60.0
1744880489236736.0,-210.978,-2440.1,0.469502,0.0,6.1794,-0.103784,60.0
1744880489257694.0,-210.978,-2440.1,0.469502,0.0,6.15165,-0.131536,60.0
1744880489278590.0,-210.978,-2440.1,0.469502,0.0,6.16023,-0.122954,60.0
1744880489299940.0,-210.978,-2440.1,0.469502,0.0,6.1235,-0.159688,60.0
1744880489320789.0,-210.978,-2440.1,0.469502,0.0,6.16108,-0.122101,60.0
1744880489341268.0,-210.978,-2440.1,0.469502,0.0,6.18723,-0.0959539,60.0
1744880489363912.0,-210.978,-2440.1,0.469502,0.0,6.12657,-0.156618,60.0
1744880489391261.0,-210.978,-2440.1,0.469502,0.0,6.12678,-0.156407,60.0
1744880489412039.0,-210.978,-2440.1,0.469502,0.0,6.14343,-0.139754,60.0
1744880489432725.0,-210.978,-2440.1,0.469502,0.0,6.12878,-0.154407,60.0
1744880489453499.0,-210.978,-2440.1,0.469502,0.0,6.12612,-0.157061,60.0
1744880489474222.0,-210.978,-2440.1,0.469502,0.0,6.14525,-0.137934,60.0
1744880489494756.0,-210.978,-2440.1,0.469502,0.0,6.14006,-0.143128,60.0
1744880489508101.0,-210.978,-2440.1,0.469502,0.0,6.18941,-0.0937747,60.0
1744880489529351.0,-210.978,-2440.1,0.469502,0.0,6.13211,-0.151078,60.0
1744880489550093.0,-210.978,-2440.1,0.469502,0.0,6.1466,-0.136585,60.0
1744880489570820.0,-210.978,-2440.1,0.469502,0.0,6.12579,-0.157392,60.0
1744880489591574.0,-210.978,-2440.1,0.469502,0.0,6.14182,-0.141364,60.0
1744880489612477.0,-210.978,-2440.1,0.469502,0.0,6.12584,-0.157346,60.0
1744880489633284.0,-210.978,-2440.1,0.469502,0.0,6.1333,-0.149881,60.0
1744880489654261.0,-210.978,-2440.1,0.469502,0.0,6.14816,-0.135026,60.0
1744880489679359.0,-210.978,-2440.1,0.469502,0.0,6.15386,-0.129323,60.0
1744880489714144.0,-210.978,-2440.1,0.469502,0.0,6.18411,-0.099079,60.0
1744880489734584.0,-210.978,-2440.1,0.469502,0.0,6.19933,-0.0838549,60.0
1744880489755848.0,-210.978,-2440.1,0.469502,0.0,6.11961,-0.163572,60.0
1744880489776799.0,-210.978,-2440.1,0.469502,0.0,6.14672,-0.136469,60.0
1744880489797741.0,-210.978,-2440.1,0.469502,0.0,6.24088,-0.042307,60.0
1744880489818522.0,-210.978,-2440.1,0.469502,0.0,6.12182,-0.16137,60.0
1744880489839360.0,-210.978,-2440.1,0.469502,0.0,6.13759,-0.145598,60.0
1744880489860486.0,-210.978,-2440.1,0.469502,0.0,6.1391,-0.144081,60.0
1744880489881570.0,-210.978,-2440.1,0.469502,0.0,6.16528,-0.117909,60.0
1744880489902438.0,-210.978,-2440.1,0.469502,0.0,6.15059,-0.1326,60.0
1744880489923269.0,-210.978,-2440.1,0.469502,0.0,6.14057,-0.142618,60.0
1744880489944331.0,-210.978,-2440.1,0.469502,0.0,6.15575,-0.127432,60.0
1744880489965311.0,-210.978,-2440.1,0.469502,0.0,6.13055,-0.152632,60.0
1744880489986299.0,-210.978,-2440.1,0.469502,0.0,6.13509,-0.148099,60.0
1744880490007252.0,-210.978,-2440.1,0.469502,0.0,6.15048,-0.132704,60.0
1744880490028156.0,-210.978,-2440.1,0.469502,0.0,6.19774,-0.0854486,60.0
