time,UAV_NED_x,UAV_NED_y,UAV_NED_z,distanceToObst,riskID,risk_type,pos_0,pos_1,pos_2,controller_mode,groundspeed,course,cmd_0,cmd_1,cmd_2,cmd_3,cmd_4,cmd_5
1744880488986755.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,351.062,1.0472
1744880489006566.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,351.062,1.0472
1744880489027447.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,351.062,1.0472
1744880489048180.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,351.062,1.0472
1744880489069026.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,351.062,1.0472
1744880489090036.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,351.062,1.0472
1744880489110952.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,351.062,1.0472
1744880489110952.0,-210.978,-2440.1,0.469502,1271.79,102.0,0.0,453.676,-1355.8,0.160048,3.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,353.44,1.0472
1744880489131756.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,351.062,1.0472
1744880489131756.0,-210.978,-2440.1,0.469502,1271.79,102.0,0.0,453.676,-1355.8,0.160048,3.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,353.44,1.0472
1744880489152823.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,351.062,1.0472
1744880489152823.0,-210.978,-2440.1,0.469502,1271.79,102.0,0.0,453.676,-1355.8,0.160048,3.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,353.44,1.0472
1744880489173705.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,351.062,1.0472
1744880489173705.0,-210.978,-2440.1,0.469502,1271.79,102.0,0.0,453.676,-1355.8,0.160048,3.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,353.44,1.0472
1744880489194575.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,351.062,1.0472
1744880489194575.0,-210.978,-2440.1,0.469502,1271.79,102.0,0.0,453.676,-1355.8,0.160048,3.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,353.44,1.0472
